Date,Open,High,Low,Close,Volume
04/01/2016,46.144001,46.276001,43.799999,44.681999,34135500
05/01/2016,45.271999,45.377998,44,44.686001,15934000
06/01/2016,44,44.009998,43.195999,43.807999,18895500
07/01/2016,42.838001,43.688,42.734001,43.130001,17771500
08/01/2016,43.571999,44.088001,42.153999,42.200001,18140500
11/01/2016,42.801998,42.889999,40.599998,41.57,20457000
12/01/2016,42.32,42.748001,41.062,41.993999,15459500
13/01/2016,42.402,42.529999,40,40.062,20632000
14/01/2016,40.442001,42,38.675999,41.236,32453500
15/01/2016,39.793999,41.014,39.450001,40.998001,27893000
19/01/2016,41.742001,42.094002,40.155998,40.944,20193500
20/01/2016,39.880001,40.256001,38.25,39.740002,29193000
21/01/2016,40.310001,40.646,39.004002,39.993999,15831000
22/01/2016,40.959999,41.099998,39.806,40.509998,15620500
25/01/2016,40.012001,40.714001,39.175999,39.276001,13493500
26/01/2016,39.34,39.563999,37.776001,38.712002,24821000
27/01/2016,38.476002,38.652,37.153999,37.613998,18086000
28/01/2016,38.158001,38.256001,36.481998,37.939999,22964000
29/01/2016,37.990002,38.748001,37.616001,38.240002,14261500
01/02/2016,37.751999,39.903999,36.549999,39.388,26488000
02/02/2016,38.484001,38.624001,36.046001,36.556,28868000
03/02/2016,36.717999,36.787998,34.035999,34.695999,39657000
04/02/2016,34.139999,35.195999,33.397999,35.066002,21927000
05/02/2016,34.259998,34.599998,31.548,32.52,47188000
08/02/2016,31.42,31.43,29.200001,29.598,46565000
09/02/2016,28.464001,31.958,28.209999,29.65,43258000
10/02/2016,30.1,30.993999,28.348,28.733999,52032500
11/02/2016,30.4,32.652,29.4,30.094,71262000
12/02/2016,31,31.402,28.74,30.208,36179000
16/02/2016,31.74,32.59,30.822001,31.034,27969000
17/02/2016,31.799999,33.868,31.336,33.736,29126000
18/02/2016,34.484001,34.59,32.953999,33.354,19438000
19/02/2016,32.731998,33.498001,32.5,33.316002,14797000
22/02/2016,34.023998,35.782001,33.970001,35.548,25300500
23/02/2016,35.231998,36.346001,34.736,35.442001,29922000
24/02/2016,34.549999,35.900002,33.568001,35.799999,26978000
25/02/2016,35.73,37.703999,35.040001,37.486,28753500
26/02/2016,37.740002,38.400002,37,38.068001,30325500
29/02/2016,38.48,39.27,37.844002,38.386002,22495000
01/03/2016,38.849998,39.189999,36.540001,37.27,33561000
02/03/2016,36.745998,37.703999,36.299999,37.667999,24312000
03/03/2016,37.655998,39.484001,36.844002,39.147999,24145000
04/03/2016,39.599998,40.806,39.5,40.208,32445500
07/03/2016,39.535999,41.939999,39.48,41.057999,26647000
08/03/2016,40.700001,41.5,40.439999,40.52,20893500
09/03/2016,40.903999,41.874001,40.557999,41.743999,16043000
10/03/2016,42,42.658001,40.133999,41.035999,25962500
11/03/2016,41.585999,41.883999,41.066002,41.5,16715500
14/03/2016,42.529999,43.344002,42.127998,43.029999,20328500
15/03/2016,42.854,43.793999,42.299999,43.667999,15902500
16/03/2016,43.599998,44.515999,43.403999,44.386002,17583500
17/03/2016,44.293999,45.700001,44,45.276001,18914500
18/03/2016,45.82,46.896,45.612,46.548,23559000
21/03/2016,47.068001,47.976002,47,47.664001,26539000
22/03/2016,47.442001,47.798,46.512001,46.848,21580000
23/03/2016,46.473999,46.945999,44.405998,44.515999,24744000
24/03/2016,43.155998,45.778,43,45.549999,24804500
28/03/2016,46.321999,46.962002,45,46.051998,19628500
29/03/2016,45.978001,46.476002,45.066002,46.026001,20071500
30/03/2016,47.018002,47.099998,45.299999,45.377998,20165000
31/03/2016,45.868,47.484001,45.001999,45.953999,40064500
01/04/2016,48.966,49.580002,46.650002,47.518002,79987500
04/04/2016,49.824001,50.424,48.728001,49.397999,67376500
05/04/2016,48.099998,51.312,48,51.094002,49743500
06/04/2016,50.793999,53.548,50.689999,53.084,58527500
07/04/2016,53.290001,53.868,50.902,51.439999,44281000
08/04/2016,52.099998,52.164001,49.604,50.014,36819500
11/04/2016,50.200001,51.798,49.060001,49.984001,45808500
12/04/2016,49.900002,50.360001,48.726002,49.563999,28816000
13/04/2016,49.702,51.099998,49.466,50.905998,24628000
14/04/2016,50.599998,51.368,50.209999,50.372002,20661000
15/04/2016,50.262001,50.919998,49.824001,50.902,18762000
18/04/2016,50.445999,51.661999,50.332001,50.776001,21357000
19/04/2016,50.624001,50.874001,48.25,49.473999,31787500
20/04/2016,49.251999,50.731998,48.299999,49.993999,25970500
21/04/2016,49.798,50.18,49.382,49.658001,13915500
22/04/2016,49.778,50.799999,49.141998,50.75,18931500
25/04/2016,50.602001,51.476002,50.152,50.363998,18351500
26/04/2016,50.41,51.146,49.877998,50.748001,16119000
27/04/2016,50.549999,51,49.880001,50.293999,16029000
28/04/2016,49.970001,50.686001,49.487999,49.542,12595000
29/04/2016,49.627998,49.686001,47.562,48.152,27069000
02/05/2016,48.299999,48.638,46.964001,48.360001,19219500
03/05/2016,47.472,47.782001,46.324001,46.464001,21511000
04/05/2016,46.057999,46.891998,44.080002,44.512001,43502500
05/05/2016,45.692001,45.728001,41.958,42.306,56274000
06/05/2016,42.174,43.273998,41.622002,42.986,28426000
09/05/2016,43.144001,43.23,41.360001,41.784,23882000
10/05/2016,41.509998,41.894001,41,41.737999,20353000
11/05/2016,41.518002,43.096001,41.209999,41.792,25809500
12/05/2016,42.287998,42.334,40.731998,41.456001,18252500
13/05/2016,41.556,42.240002,41.34,41.521999,14114000
16/05/2016,41.630001,42.630001,41.584,41.658001,14747000
17/05/2016,41.810001,41.964001,40.804001,40.931999,14218000
18/05/2016,41.830002,43.062,41.549999,42.234001,28087500
19/05/2016,42.723999,43.358002,41.459999,43.042,34331500
20/05/2016,43.397999,44.110001,43.27,44.056,45035500
23/05/2016,43.973999,44.52,43.172001,43.243999,25512500
24/05/2016,43.32,43.748001,43.035999,43.582001,15069000
25/05/2016,43.582001,44.271999,43.301998,43.916,15634000
26/05/2016,44.099998,45.051998,43.810001,45.023998,20362000
27/05/2016,44.998001,45.186001,44.150002,44.608002,18251500
31/05/2016,44.608002,44.950001,44.299999,44.646,13945000
01/06/2016,44.296001,44.48,43.377998,43.911999,14913500
